时间,猪肉价格,仔猪价格,玉米市场价格,通货膨胀率CPI,鸡肉价格,存栏量
2010/9/30,1.96,3.87,0.02,2.0062223,1.5,-7.28E-12
2010/12/31,1.68,0.4,0.01,2.9362146,0.73,7.28E-12
2011/3/31,0.93,4.14,0.04,2.6033314,0.34,180.38
2011/6/30,5.88,8.28,0.12,0.6623198,0.6,0
2011/9/30,-1.87,6.01,0.17,1.7355549,1.33,0
2011/12/31,-0.65,-7.61,-0.09,0.268679,-0.9,0
2012/3/31,-3.92,3.21,0.01,2.1608741,-0.33,161.4675
2012/6/30,-0.47,-2.14,0.12,-1.3673618,-0.3,-7.28E-12
2012/9/30,0.94,-1.73,0.08,1.361055,0.57,0
2012/12/31,2.52,-2.8,-0.15,1.0966603,0.4,0
2013/3/31,-4.95,0.93,0.04,1.6473034,0.2,-273.1325
2013/6/30,3.27,0.14,-0.01,-0.5610533,-1.9,7.28E-12
2013/9/30,0.37,2.8,0.04,1.9573457,1.33,-7.28E-12
2013/12/31,-2.05,-4.14,-0.08,0.4235786,0.17,0
2014/3/31,-2.06,-2.93,-0.04,1.4130595,-0.67,-148.9575
2014/6/30,2.24,0.93,0.11,-0.4293728,1.37,0
2014/9/30,-0.09,0.81,0.23,1.1436051,0.93,-7.28E-12
2014/12/31,-1.03,-4.41,-0.24,0.1429282,-0.1,7.28E-12
2015/3/31,0.38,0,-0.05,1.4336993,0.04,-156.0975
2015/6/30,5.6,7.48,0.05,-0.5808888,-0.64,7.28E-12
2015/9/30,-1.31,6.81,-0.1,1.3064124,0.81,-7.28E-12
2015/12/31,2.15,-4.93,-0.23,0.2899948,-0.3,0
2016/3/31,2.14,11.21,-0.1,2.4878801,0.16,-59.1
2016/6/30,-1.3,11.75,-0.01,-1.1884384,0,0
2016/9/30,-1.22,-6.81,0.01,1.480224,0.04,0
2016/12/31,0.56,-6.8,-0.09,0.2981761,-0.14,0
2017/3/31,-2.42,4.94,-0.12,0.7407373,-1.7,385.8675
2017/6/30,-2.62,-7.61,0.07,-0.3005532,-0.56,0
2017/9/30,0.75,-1.87,0.07,1.5033612,1.76,0
2017/12/31,0.75,-3.73,-0.02,0.6060721,0.61,0
2018/3/31,-4.67,-2.94,0.11,1.0448001,-0.1,-322.89
2018/6/30,-0.47,-3.6,-0.04,-0.7640529,-0.57,0
2018/9/30,3.28,1.6,0.03,2.6028329,1.07,0
2018/12/31,-0.48,-2.94,0.04,-0.1558235,0.8,0
2019/3/31,1.4,7.62,-0.07,1.700543,-0.27,-2608.575
2019/6/30,3.46,9.61,0.07,-0.0001565,0.63,7.28E-12
2019/9/30,22.49,16.02,0.05,3.1486809,3.34,-7.28E-12
2019/12/31,3.27,19.5,-0.03,2.080381,1.33,7.28E-12
2020/3/31,1.06,15.89,0.02,1.5918867,-2.56,2944.0275
